ID	DOCULECT	CONCEPT	VALUE	TOKENS	COGIDS	NOBORID
2886	Loudi	fall	sua¹³	s w a ¹³	586	205
2887	Nanchang	fall	tiɛt⁵	t j ɛ t ⁵	582	201
2888	Meixian	fall	lok⁵	l o k ⁵	583	202
2889	Guilin	fall	tiɑu²⁵	t j ɑu ²⁵	581	200
2890	Guangzhou	fall	lɔk²	l ɔ k ²	583	202
2891	Fuzhou	fall	tɔuŋ²⁴²	t ɔu ŋ ²⁴²	587	206
2892	Xiamen	fall	lak³²*	l a k ³²	583	202
2073	Beijing	far	yɛn²¹³	ɥ ɛ n ²¹³	409	207
2074	Ha_erbin	far	yan²¹³	ɥ a n ²¹³	409	207
2075	Jinan	far	yæ̃⁴⁵	ɥ æ̃ ⁴⁵	409	207
2076	Rongcheng	far	yɐn²¹⁴	ɥ ɐ n ²¹⁴	409	207
2077	Taiyuan	far	ye⁵³	ɥ e ⁵³	409	207
2078	Xi_an	far	yæ̃⁵³	ɥ æ̃ ⁵³	409	207
2079	Chengdu	far	yan⁵³	ɥ a n ⁵³	409	207
2080	Nanjing	far	yen¹¹	ɥ e n ¹¹	409	207
2081	Jixi	far	yẽ²¹³	ɥ ẽ ²¹³	409	207
2082	Suzhou	far	ɦiø²³¹	ɦ j ø ²³¹	409	207
2083	Wenzhou	far	ju²⁴	j u ²⁴	409	207
2084	Changsha	far	yẽ⁴¹	ɥ ẽ ⁴¹	409	207
2085	Loudi	far	uĩ⁴²	w ĩ ⁴²	409	207
2086	Nanchang	far	yon²¹³	ɥ o n ²¹³	409	207
2087	Meixian	far	ian³¹	j a n ³¹	409	207
2088	Guilin	far	yã²³	ɥ ã ²³	409	207
2089	Guangzhou	far	yn²³	y n ²³	409	207
2090	Fuzhou	far	huoŋ²⁴²	h w o ŋ ²⁴²	409	207
2091	Xiamen	far	uan⁵³	w a n ⁵³	409	207
25	Beijing	fear	pʰᴀ⁵¹	pʰ a̠ ⁵¹	11	226
26	Ha_erbin	fear	pʰa⁵³	pʰ a ⁵³	11	226
27	Jinan	fear	pʰa³¹	pʰ a ³¹	11	226
28	Rongcheng	fear	pʰa³³⁴	pʰ a ³³⁴	11	226
29	Taiyuan	fear	pʰa⁴⁵	pʰ a ⁴⁵	11	226
30	Xi_an	fear	pʰɑ⁴⁴	pʰ ɑ ⁴⁴	11	226
31	Chengdu	fear	pʰa²¹³	pʰ a ²¹³	11	226
32	Chengdu	fear	tsʰa²¹³	tsʰ a ²¹³	12	227
33	Nanjing	fear	pʰɑ⁴⁴	pʰ ɑ ⁴⁴	11	226
34	Jixi	fear	pʰo³⁵	pʰ o ³⁵	11	226
35	Suzhou	fear	pʰo⁴¹²	pʰ o ⁴¹²	11	226
36	Wenzhou	fear	ho⁴¹	h o ⁴¹	13	228
37	Changsha	fear	pʰa⁵⁵	pʰ a ⁵⁵	11	226
38	Loudi	fear	pʰɔ³⁵	pʰ ɔ ³⁵	11	226
39	Nanchang	fear	pʰa²¹³	pʰ a ²¹³	11	226
40	Meixian	fear	pʰa⁵³	pʰ a ⁵³	11	226
41	Meixian	fear	vi⁵³	v i ⁵³	14	229
42	Meixian	fear	kiaŋ⁴⁴	k j a ŋ ⁴⁴	15	230
43	Guilin	fear	pʰᴀ²⁵	pʰ a̠ ²⁵	11	226
44	Guangzhou	fear	pʰa³³	pʰ a ³³	11	226
45	Fuzhou	fear	kiaŋ⁵⁵	k j a ŋ ⁵⁵	15	230
46	Xiamen	fear	kiã⁵⁵	k j ã ⁵⁵	15	230
2011	Beijing	feather	y²¹³⁻²¹ mɑu³⁵	y ²¹³ + m ɑu ³⁵	403 263	233
2012	Ha_erbin	feather	y²¹³⁻²¹ maur²⁴	y ²¹³ + m au ²⁴	403 263	233
2013	Jinan	feather	y⁴⁵ mɔ⁵³	y ⁴⁵ + m ɔ ⁵³	403 263	233
2014	Jinan	feather	mɔ⁵³	m ɔ ⁵³	263	231
2015	Rongcheng	feather	y²¹³ mɔ⁵²	y ²¹³ + m ɔ ⁵²	403 263	233
2016	Taiyuan	feather	y⁵³ mau²¹	y ⁵³ + m au ²¹	403 263	233
2017	Xi_an	feather	mɑu²⁴	m ɑu ²⁴	263	231
2018	Chengdu	feather	y⁵³⁻⁴⁵ mau²¹	y ⁵³ + m au ²¹	403 263	233
2019	Nanjing	feather	i¹¹⁻²¹ mɔ¹³	i ¹¹ + m ɔ ¹³	403 263	233
2020	Jixi	feather	y²¹³⁻³¹ mɤ⁴⁴	y ²¹³ + m ɤ ⁴⁴	403 263	233
2021	Jixi	feather	mɤ⁴⁴	m ɤ ⁴⁴	263	231
2022	Suzhou	feather	y⁴⁴ mæ¹³⁻²¹	y ⁴⁴ + m æ ¹³	403 263	233
2023	Suzhou	feather	mæ¹³	m æ ¹³	263	231
2024	Wenzhou	feather	vu²⁴⁻³³ mə³⁴¹⁻²²	v u ²⁴ + m ə ³⁴¹	403 263	233
2025	Wenzhou	feather	mə³⁴¹	m ə ³⁴¹	263	231
2026	Changsha	feather	y⁴¹ mau¹³	y ⁴¹ + m au ¹³	403 263	233
2027	Loudi	feather	y⁴² mɤ¹³⁻³³	y ⁴² + m ɤ ¹³	403 263	233
2028	Nanchang	feather	y²¹³ mau⁴⁵	y ²¹³ + m au ⁴⁵	403 263	233
2029	Meixian	feather	i³³ mau³³	i ³³ + m au ³³	403 263	233
2030	Guilin	feather	mɑu²²	m ɑu ²²	263	231
2031	Guangzhou	feather	y²³ mou²¹	y ²³ + m ou ²¹	403 263	233
2032	Fuzhou	feather	y³² mau⁵³	y ³² + m au ⁵³	403 263	233
2033	Fuzhou	feather	mau⁵³⁻³³ mau⁵³	m au ⁵³ + m au ⁵³	263 776	232
2034	Xiamen	feather	sit⁵⁻³²* mŋ̍²⁴	s i t ⁵ + m ŋ̍ ²⁴	404 263	234
624	Beijing	few	ʂɑu⁵¹	ʂ ɑu ⁵¹	141	235
625	Ha_erbin	few	ʂau²¹³	ʂ au ²¹³	141	235
626	Jinan	few	ʂɔ⁴⁵	ʂ ɔ ⁴⁵	141	235
627	Rongcheng	few	ʂau³³⁴	ʂ au ³³⁴	141	235
628	Taiyuan	few	sau⁵³	s au ⁵³	141	235
629	Xi_an	few	ʂɑu⁵³	ʂ ɑu ⁵³	141	235
630	Chengdu	few	sau⁵³	s au ⁵³	141	235
631	Chengdu	few	kua⁵³	k w a ⁵³	142	236
632	Nanjing	few	sɔ¹¹	s ɔ ¹¹	141	235
633	Jixi	few	ɕie²¹³	ɕ j e ²¹³	141	235
634	Suzhou	few	sæ⁵²	s æ ⁵²	141	235
635	Wenzhou	few	ɕiɛ²⁴²	ɕ j ɛ ²⁴²	141	235
636	Changsha	few	sau⁴¹	s au ⁴¹	141	235
637	Loudi	few	ɕiɤ⁴²	ɕ j ɤ ⁴²	141	235
638	Nanchang	few	sɛu²¹³	s ɛu ²¹³	141	235
639	Meixian	few	sau³¹	s au ³¹	141	235
640	Guilin	few	sɑu²³	s ɑu ²³	141	235
641	Guangzhou	few	siu³⁵	s j u ³⁵	141	235
642	Fuzhou	few	tsieu³²	ts j eu ³²	141	235
643	Xiamen	few	tsio⁵³	ts j o ⁵³	141	235
2781	Beijing	fight	tɑ²¹⁴⁻²¹ tɕiɑ⁵¹	t ɑ ²¹⁴ + tɕ j ɑ ⁵¹	115 563	239
2782	Ha_erbin	fight	ta²¹³⁻²¹ tɕia⁵³	t a ²¹³ + tɕ j a ⁵³	115 563	239
2783	Ha_erbin	fight	ta²¹³⁻²¹ tʂaŋ⁵³	t a ²¹³ + ʈʂ a ŋ ⁵³	115 564	240
2784	Ha_erbin	fight	kan⁵³ tʂaŋ⁵³	k a n ⁵³ + ʈʂ a ŋ ⁵³	795 564	248
2785	Jinan	fight	ta⁴⁵ tɕia²¹	t a ⁴⁵ + tɕ j a ²¹	115 563	239
2786	Rongcheng	fight	ta²¹⁴⁻² tʂaŋ³³⁴	t a ²¹⁴ + ʈʂ a ŋ ³³⁴	115 564	240
2787	Taiyuan	fight	ta⁵³ tɕia⁴⁵	t a ⁵³ + tɕ j a ⁴⁵	115 563	239
2788	Xi_an	fight	tɑ⁵³ pfʰei²⁴	t ɑ ⁵³ + pfʰ ei ²⁴	115 566	241
2789	Chengdu	fight	ta⁵³⁻⁵⁵ tɕia²¹³	t a ⁵³ + tɕ j a ²¹³	115 563	239
2790	Chengdu	fight	ta⁵³⁻⁵⁵ tsʰuei²¹	t a ⁵³ + tsʰ w ei ²¹	115 567	242
2791	Chengdu	fight	ko²¹⁻⁵⁵ ȵie²¹	k o ²¹ + ɲ j e ²¹	568 569	246
2792	Nanjing	fight	tɑ¹¹⁻²² tɕiɑ⁴⁴⁻²²	t ɑ ¹¹ + tɕ j ɑ ⁴⁴	115 563	239
2793	Jixi	fight	tɔ²¹³⁻³¹ ko³⁵	t ɔ ²¹³ + k o ³⁵	115 563	239
2794	Suzhou	fight	tã⁵² siã⁴⁴⁻³¹ tã⁵²⁻³¹	t ã ⁵² + s j ã ⁴⁴ + t ã ⁵²	115 288 115	238
2795	Wenzhou	fight	tiə²⁴²⁻²⁴ tsʰɿ⁰	t j ɛ ²⁴² + tsʰ ɿ ⁰	115 245	237
2796	Wenzhou	fight	tøy²⁴²⁻⁵³ tiɛ²⁴²⁻²²	t øy ²⁴² + t j ɛ ²⁴²	570 115	247
2797	Changsha	fight	ta⁴¹⁻⁴⁴ tɕia⁵⁵	t a ⁴¹ + tɕ j a ⁵⁵	115 563	239
2798	Loudi	fight	ta⁴² tɕiɔ³⁵	t a ⁴² + tɕ j ɔ ³⁵	115 563	239
2799	Nanchang	fight	ta²¹³ ka⁴⁵	t a ²¹³ + k a ⁴⁵	115 563	239
2800	Meixian	fight	ta³¹ kau³³⁻⁵³ e⁰	t a ³¹ + k au ³³ + e ⁰	115 571 770	244
2801	Guilin	fight	tɑ²³ kɑ²⁵	t ɑ ²³ + k ɑ ²⁵	115 563	239
2802	Guangzhou	fight	ta³⁵ kau⁵⁵	t a ³⁵ + k au ⁵⁵	115 571	243
2803	Fuzhou	fight	souŋ⁵⁵⁻⁵³ pʰaʔ²¹*	s ou ŋ ⁵⁵ + pʰ a ʔ ²¹	288 562	245
2804	Xiamen	fight	sio⁵⁵⁻²² pʰaʔ³²*	s io ⁵⁵ + pʰ a ʔ ³²	288 562	245
3664	Beijing	fire	xuo²¹⁴	x w o ²¹⁴	672	249
3665	Ha_erbin	fire	xuo²¹³	x w o ²¹³	672	249
3666	Jinan	fire	xuɤ⁴⁵	x w ɤ ⁴⁵	672	249
3667	Rongcheng	fire	xuɔ²¹⁴	x w ɔ ²¹⁴	672	249
3668	Taiyuan	fire	xuɤ⁵³	x w ɤ ⁵³	672	249
3669	Xi_an	fire	xuo⁵³	x w o ⁵³	672	249
3670	Chengdu	fire	xo⁵³	x o ⁵³	672	249
3671	Nanjing	fire	xo¹¹	x o ¹¹	672	249
3672	Jixi	fire	xɵ²¹³	x ɵ ²¹³	672	249
3673	Suzhou	fire	həu⁵²	h əu ⁵²	672	249
3674	Wenzhou	fire	fu²⁴²	f u ²⁴²	672	249
3675	Changsha	fire	xo⁴¹	x o ⁴¹	672	249
3676	Loudi	fire	xo⁴²	x o ⁴²	672	249
3677	Nanchang	fire	fo²¹³	f o ²¹³	672	249
3678	Meixian	fire	fo³¹	f o ³¹	672	249
3679	Guilin	fire	xuo²³	x w o ²³	672	249
3680	Guangzhou	fire	fɔ³⁵	f ɔ ³⁵	672	249
3681	Fuzhou	fire	huoi³²	h w oi ³²	672	249
3682	Xiamen	fire	he⁵³	h e ⁵³	672	249
1992	Beijing	fish	y³⁵	y ³⁵	402	250
1993	Ha_erbin	fish	y²⁴	y ²⁴	402	250
1994	Jinan	fish	y⁵³	y ⁵³	402	250
1995	Rongcheng	fish	y⁵²	y ⁵²	402	250
1996	Taiyuan	fish	y²¹	y ²¹	402	250
1997	Xi_an	fish	y²⁴	y ²⁴	402	250
1998	Chengdu	fish	y²¹	y ²¹	402	250
1999	Nanjing	fish	yi¹³	y ¹³	402	250
2000	Jixi	fish	ȵy⁴⁴	ɲ y ⁴⁴	402	250
2001	Suzhou	fish	ŋ̍¹³	ŋ̍ ¹³	402	250
2002	Wenzhou	fish	ŋøy³⁴¹	ŋ øy ³⁴¹	402	250
2003	Changsha	fish	y¹³	y ¹³	402	250
2004	Loudi	fish	y¹³	y ¹³	402	250
2005	Nanchang	fish	ȵie⁴⁵	ɲ j e ⁴⁵	402	250
2006	Meixian	fish	n̩¹¹	n n̩/ə ¹¹	402	250
2007	Guilin	fish	ŋ̍t²³ sɿ⁰ te³³	ŋ̍ ²³ + ts ɿ ⁰ + t e ³³	402 756 757	251
2008	Guangzhou	fish	y²¹	y ²¹	402	250
2009	Fuzhou	fish	ŋy⁵³	ŋ y ⁵³	402	250
2010	Xiamen	fish	hi²⁴	h i ²⁴	402	250
1502	Beijing	five	u²¹³	u ²¹³	324	252
1503	Ha_erbin	five	u²¹³	u ²¹³	324	252
1504	Jinan	five	u⁴⁵	u ⁴⁵	324	252
1505	Rongcheng	five	u²¹⁴	u ²¹⁴	324	252
1506	Taiyuan	five	u⁵³	u ⁵³	324	252
1507	Xi_an	five	u⁵³	u ⁵³	324	252
1508	Chengdu	five	u⁵³	u ⁵³	324	252
1509	Nanjing	five	u¹¹	u ¹¹	324	252
1510	Jixi	five	vu²¹³	v u ²¹³	324	252
1511	Suzhou	five	ŋ̍²³¹	ŋ̍ ²³¹	324	252
1512	Wenzhou	five	ŋ̍²⁴	ŋ̍ ²⁴	324	252
1513	Changsha	five	u⁴¹	u ⁴¹	324	252
1514	Loudi	five	u⁴²	u ⁴²	324	252
1515	Nanchang	five	ŋ̍²¹³	ŋ̍ ²¹³	324	252
1516	Meixian	five	n̩³¹	n̩ ³¹	324	252
1517	Guilin	five	ŋ̍²³	ŋ̍ ²³	324	252
1518	Guangzhou	five	ŋ̍²³	ŋ̍ ²³	324	252
1519	Fuzhou	five	ŋou²⁴²	ŋ ou ²⁴²	324	252
1520	Xiamen	five	gɔ²²	g ɔ ²²	324	252
438	Beijing	flesh	ʐou⁵¹	ʐ ou ⁵¹	18	253
439	Ha_erbin	flesh	ʐou⁵³	ʐ ou ⁵³	18	253
440	Jinan	flesh	ʐou³¹	ʐ ou ³¹	18	253
441	Rongcheng	flesh	iou³³⁴	j ou ³³⁴	18	253
442	Taiyuan	flesh	zəu⁴⁵	z əu ⁴⁵	18	253
443	Xi_an	flesh	ʐou⁴⁴	ʐ ou ⁴⁴	18	253
444	Chengdu	flesh	zəu²¹³	z əu ²¹³	18	253
445	Nanjing	flesh	ʐəɯ⁴⁴	ʐ əɯ ⁴⁴	18	253
446	Jixi	flesh	ȵyoʔ³²*	ɲ ɥ o ʔ ³²	18	253
447	Suzhou	flesh	ȵioʔ²³*	ɲ j o ʔ ²³	18	253
448	Wenzhou	flesh	ȵieu²¹	ɲ j eu ²¹	18	253
449	Changsha	flesh	ʐəu²⁴	ʐ əu ²⁴	18	253
450	Loudi	flesh	nio³⁵	n io ³⁵	18	253
451	Nanchang	flesh	ȵiuʔ⁵	ɲ j u ʔ ⁵	18	253
452	Meixian	flesh	ŋiuk¹	ŋ j u k ¹	18	253
453	Guilin	flesh	iou⁵⁵	j ou ⁵⁵	18	253
454	Guangzhou	flesh	ik²	i o k ²	18	253
455	Fuzhou	flesh	nyʔ⁵	n y ʔ ⁵	18	253
456	Xiamen	flesh	baʔ³²*	b a ʔ ³²	838	254
68	Beijing	float	pʰiɑu⁵⁵ fu³⁵	pʰ j ɑu ⁵⁵ + f u ³⁵	20 21	256
69	Ha_erbin	float	pʰiau⁴⁴ fu²⁴	pʰ j au ⁴⁴ + f u ²⁴	20 21	256
70	Jinan	float	pʰiɔ²¹⁴ fu⁵³	pʰ j ɔ ²¹⁴ + f u ⁵³	20 21	256
71	Rongcheng	float	pʰiau⁵² fu³⁵	pʰ j au ⁵² + f u ³⁵	20 21	256
72	Taiyuan	float	pʰiɑu²¹	pʰ j ɑu ²¹	20	255
73	Xi_an	float	pʰiau²¹	pʰ j au ²¹	20	255
74	Xi_an	float	fu²⁴	f u ²⁴	21	258
75	Chengdu	float	pʰiau⁴⁵	pʰ j au ⁴⁵	20	255
76	Nanjing	float	pʰiɔ³¹ fu¹³	pʰ j ɔ ³¹ + f u ¹³	20 21	256
77	Nanjing	float	fu¹³	f u ¹³	21	258
78	Nanjing	float	piɔ³¹	p j ɔ ³¹	20	255
79	Jixi	float	fu⁴⁴	f u ⁴⁴	21	258
80	Jixi	float	pʰie⁵⁵ fu⁴⁴	pʰ j e ⁵⁵ + f u ⁴⁴	20 21	256
81	Suzhou	float	tʰən⁵²	tʰ ə n ⁵²	22	261
82	Wenzhou	float	və³⁴¹	v ə ³⁴¹	21	258
83	Wenzhou	float	taŋ⁵¹	t a ŋ ⁵¹	22	261
84	Changsha	float	pʰiau³³ fu⁰	pʰ j au ³³ + f u ⁰	20 21	256
85	Loudi	float	bɤ¹³	b ɤ ¹³	21	258
86	Nanchang	float	pʰiɛu⁴²	pʰ j ɛu ⁴²	20	255
87	Nanchang	float	fəu⁴⁵	f ɛu ⁴⁵	21	258
88	Nanchang	float	pʰiɛu⁴² fɛu⁴⁵	pʰ j ɛu ⁴² + f ɛu ⁴⁵	20 21	256
89	Meixian	float	feu¹¹	f eu ¹¹	21	258
90	Guilin	float	fu²² tɑu²³⁻³³	f u ²² + t ɑu ²³	21 23	259
91	Guangzhou	float	pʰiu⁵³ fɐu²¹	pʰ j u ⁵³ + f ɐu ²¹	20 21	256
92	Fuzhou	float	pʰieu⁵⁵ lɛ³²	pʰ j eu ⁵⁵ + l ɛ ³²	20 24	257
93	Fuzhou	float	pʰu⁵³ lɛ³²	pʰ u ⁵³ + l ɛ ³²	21 24	260
94	Xiamen	float	pʰu²⁴	pʰ u ²⁴	21	258
3977	Beijing	flow	liou³⁵	l j ou ³⁵	164	262
3978	Ha_erbin	flow	liou²⁴	l j ou ²⁴	164	262
3979	Jinan	flow	liou⁵³	l j ou ⁵³	164	262
3980	Rongcheng	flow	liou³⁵	l j ou ³⁵	164	262
3981	Taiyuan	flow	liəu²¹	l j əu ²¹	164	262
3982	Xi_an	flow	liou²⁴	l j ou ²⁴	164	262
3983	Chengdu	flow	liəu²¹	l j əu ²¹	164	262
3984	Nanjing	flow	tʰɑ̃¹¹	tʰ ɑ̃ ¹¹	706	263
3985	Nanjing	flow	ȵiəɯ¹³	ɲ j əɯ ¹³	164	262
3986	Jixi	flow	ni⁴⁴	n i ⁴⁴	164	262
3987	Suzhou	flow	tʰɑ̃⁵²	tʰ ɑ̃ ⁵²	706	263
3988	Wenzhou	flow	lɤu³⁴¹	l ɤu ³⁴¹	164	262
3989	Changsha	flow	liəu¹³	l j əu ¹³	164	262
3990	Loudi	flow	lio¹³	l j o ¹³	164	262
3991	Nanchang	flow	liu⁴⁵	l j u ⁴⁵	164	262
3992	Meixian	flow	liu¹¹	l j u ¹¹	164	262
3993	Guilin	flow	liou²²	l j ou ²²	164	262
3994	Guangzhou	flow	lɐu²¹	l ɐu ²¹	164	262
3995	Fuzhou	flow	lau⁵³	l au ⁵³	164	262
3996	Xiamen	flow	lau²⁴	l au ²⁴	164	262
3563	Beijing	flower	xuɐr⁵⁵	x w a ⁵⁵	662	264
3564	Ha_erbin	flower	xuar⁴⁴	x w a ⁴⁴	662	264
3565	Jinan	flower	xuar²¹⁴	x w a ²¹⁴	662	264
3566	Rongcheng	flower	xuar⁵²	x w a ⁵²	662	264
3567	Taiyuan	flower	xua²¹	x w a ²¹	662	264
3568	Xi_an	flower	xuɑr²¹	x w ɑ ²¹	662	264
3569	Chengdu	flower	xua⁴⁵	x w a ⁴⁵	662	264
3570	Nanjing	flower	xuɑ³¹	x w ɑ ³¹	662	264
3571	Jixi	flower	xo⁵⁵ n̩⁰	x o ⁵⁵ + n̩ ⁰	662 810	266
3572	Suzhou	flower	ho⁴⁴	h o ⁴⁴	662	264
3573	Wenzhou	flower	ho⁴⁴	h o ⁴⁴	662	264
3574	Changsha	flower	fa³³	f a ³³	662	264
3575	Loudi	flower	xɔ⁴⁴	x ɔ ⁴⁴	662	264
3576	Nanchang	flower	fa⁴⁵	f a ⁴⁵	662	264
3577	Meixian	flower	fa³³⁻³⁵ ve⁰	f a ³³ + v e ⁰	662 811	267
3578	Guilin	flower	fᴀ⁴²	f a̠ ⁴²	662	264
3579	Guangzhou	flower	fa⁵⁵	f a ⁵⁵	662	264
3580	Fuzhou	flower	hua⁵⁵	h w a ⁵⁵	662	264
3581	Xiamen	flower	hue⁵⁵⁻²² ia⁵³	h w e ⁵⁵ + j a ⁵³	662 797	265
3582	Xiamen	flower	hue⁵⁵	h w e ⁵⁵	662	264
3047	Beijing	fly	fei⁵⁵	f ei ⁵⁵	600	268
3048	Ha_erbin	fly	fei⁴⁴	f ei ⁴⁴	600	268
3049	Jinan	fly	fei²¹⁴	f ei ²¹⁴	600	268
3050	Rongcheng	fly	fe⁵²	f e ⁵²	600	268
3051	Taiyuan	fly	fei²¹	f ei ²¹	600	268
3052	Xi_an	fly	fei²¹	f ei ²¹	600	268
3053	Chengdu	fly	fei⁴⁵	f ei ⁴⁵	600	268
3054	Nanjing	fly	fei³¹	f ei ³¹	600	268
3055	Jixi	fly	fi⁵⁵	f i ⁵⁵	600	268
3056	Suzhou	fly	fi⁴⁴	f i ⁴⁴	600	268
3057	Wenzhou	fly	fei⁴⁴	f ei ⁴⁴	600	268
3058	Changsha	fly	fei³³	f ei ³³	600	268
3059	Loudi	fly	xui⁴⁴	x w i ⁴⁴	600	268
3060	Nanchang	fly	fɨi⁴²	f ɨi ⁴²	600	268
3061	Meixian	fly	fi³³	f i ³³	600	268
3062	Guilin	fly	fei⁴²	f ei ⁴²	600	268
3063	Guangzhou	fly	fei⁵³	f ei ⁵³	600	268
3064	Fuzhou	fly	puoi⁵⁵	p w oi ⁵⁵	600	268
3065	Xiamen	fly	pe⁵⁵	p e ⁵⁵	600	268
1521	Beijing	fog	u⁵¹	u ⁵¹	325	269
1522	Ha_erbin	fog	u⁵³	u ⁵³	325	269
1523	Jinan	fog	u³¹	u ³¹	325	269
1524	Rongcheng	fog	u³³⁴	u ³³⁴	325	269
1525	Taiyuan	fog	u⁴⁵	u ⁴⁵	325	269
1526	Xi_an	fog	vu⁴⁴	v u ⁴⁴	325	269
1527	Chengdu	fog	u²¹³	u ²¹³	325	269
1528	Nanjing	fog	u⁴⁴	u ⁴⁴	325	269
1529	Jixi	fog	vu³¹	v u ³¹	325	269
1530	Suzhou	fog	mi¹³⁻²² ləu²³¹	m i ¹³ + l əu ²³¹	326 327	271
1531	Wenzhou	fog	mø²²	m ø ²²	328	272
1532	Changsha	fog	tsau⁵⁵ tsɿ⁰	ts au ⁵⁵ + ts ɿ ⁰	329 19	273
1533	Loudi	fog	u¹¹	u ¹¹	325	269
1534	Nanchang	fog	u²¹	u ²¹	325	269
1535	Meixian	fog	muŋ¹¹ sa³³	m u ŋ ¹¹ + s a ³³	330 331	274
1536	Guilin	fog	u²¹ tɕʰi⁴²⁻²²	u ²¹ + tɕʰ i ⁴²	325 332	270
1537	Guangzhou	fog	mou²²	m ou ²²	325	269
1538	Fuzhou	fog	muo⁵³	m w o ⁵³	325	269
1539	Xiamen	fog	bu²²	b u ²²	325	269
3741	Beijing	foot	tɕiɑu²¹⁴	tɕ j ɑu ²¹⁴	277	275
3742	Ha_erbin	foot	tɕiau²¹³	tɕ j au ²¹³	277	275
3743	Ha_erbin	foot	tɕiau²¹³⁻²¹ ia⁴⁴ tsɿ⁰	tɕ j au ²¹³ + j a ⁴⁴ + ts ɿ ⁰	277 677 19	277
3744	Jinan	foot	tɕyɤ²¹⁴	tɕ ɥ ɤ ²¹⁴	277	275
3745	Rongcheng	foot	cyɔ²¹⁴	c ɥ ɔ ²¹⁴	277	275
3746	Taiyuan	foot	tɕiau⁵³	tɕ j au ⁵³	277	275
3747	Xi_an	foot	tɕyo²¹	tɕ ɥ o ²¹	277	275
3748	Chengdu	foot	tɕyo²¹⁻⁵⁵ pər⁵³	tɕ ɥ o ²¹ + p ə ⁵³	277 509	276
3749	Nanjing	foot	tɕioʔ⁵	tɕ j o ʔ ⁵	277	275
3750	Jixi	foot	tɕyoʔ³²*	tɕ ɥ o ʔ ³²	277	275
3751	Suzhou	foot	tɕiɑʔ⁴	tɕ j ɑ ʔ ⁴	277	275
3752	Wenzhou	foot	tɕia⁴¹	tɕ j a ⁴¹	277	275
3753	Changsha	foot	tɕio²⁴	tɕ j o ²⁴	277	275
3754	Loudi	foot	dio¹³	d j o ¹³	277	275
3755	Nanchang	foot	tɕioʔ⁵	tɕ j o ʔ ⁵	277	275
3756	Meixian	foot	kiok¹	k j o k ¹	277	275
3757	Guilin	foot	ɕy⁵⁵ te²²	ɕ y ⁵⁵ + t e ²²	333 814	279
3758	Guangzhou	foot	kœk³	k œ k ³	277	275
3759	Fuzhou	foot	kʰa⁵⁵	kʰ a ⁵⁵	279	278
3760	Xiamen	foot	kʰa⁵⁵	kʰ a ⁵⁵	279	278
1059	Beijing	four	sɿ⁵¹	s ɿ ⁵¹	225	280
1060	Ha_erbin	four	sɿ⁵³	s ɿ ⁵³	225	280
1061	Jinan	four	sɿ³¹	s ɿ ³¹	225	280
1062	Rongcheng	four	sɿ³³⁴	s ɿ ³³⁴	225	280
1063	Taiyuan	four	sɿ⁴⁵	s ɿ ⁴⁵	225	280
1064	Xi_an	four	sɿ⁴⁴	s ɿ ⁴⁴	225	280
1065	Chengdu	four	sɿ²¹³	s ɿ ²¹³	225	280
1066	Nanjing	four	sɿ⁴⁴	s ɿ ⁴⁴	225	280
1067	Jixi	four	sɿ³⁵	s ɿ ³⁵	225	280
1068	Suzhou	four	sɿ⁴¹²	s ɿ ⁴¹²	225	280
1069	Wenzhou	four	sɿ⁵¹	s ɿ ⁵¹	225	280
1070	Changsha	four	sɿ⁵⁵	s ɿ ⁵⁵	225	280
1071	Loudi	four	sɿ³⁵	s ɿ ³⁵	225	280
1072	Nanchang	four	sɿ⁴⁵	s ɿ ⁴⁵	225	280
1073	Meixian	four	si⁵³	s i ⁵³	225	280
1074	Guilin	four	sɿ²⁵	s ɿ ²⁵	225	280
1075	Guangzhou	four	sei³³	s ei ³³	225	280
1076	Fuzhou	four	sɛi²¹²	s ɛi ²¹²	225	280
1077	Xiamen	four	si²¹	s i ²¹	225	280
3761	Beijing	freeze	tɕiɛ³⁵ piŋ⁵⁵	tɕ j ɛ ³⁵ + p i ŋ ⁵⁵	678 83	283
3762	Ha_erbin	freeze	tuŋ⁵³ piŋ⁴⁴	t u ŋ ⁵³ + p i ŋ ⁴⁴	679 83	284
3763	Jinan	freeze	tɕiə²¹⁴⁻²³ piŋ²¹⁴	tɕ j ə ²¹⁴ + p i ŋ ²¹⁴	678 83	283
3764	Rongcheng	freeze	ciɛ²¹⁴⁻²¹ piŋ⁵²	c j ɛ ²¹⁴ + p i ŋ ⁵²	678 83	283
3765	Taiyuan	freeze	tɕiəʔ²⁻⁵⁴ piŋ²¹	tɕ j ə ʔ ² + p i ŋ ²¹	678 83	283
3766	Xi_an	freeze	tɕiɛ²¹⁻²⁴ piŋ²¹	tɕ j ɛ ²¹ + p i ŋ ²¹	678 83	283
3767	Chengdu	freeze	tɕie²¹⁻⁵⁵ pin⁴⁵	tɕ j e ²¹ + p i n ⁴⁵	678 83	283
3768	Nanjing	freeze	tɕieʔ⁵ pin³¹	tɕ j e ʔ ⁵ + p i n ³¹	678 83	283
3769	Jixi	freeze	tɕiaʔ³²* piɑ̃⁵⁵	tɕ j a ʔ ³² + p j ɑ̃ ⁵⁵	678 83	283
