Word without borrowing2	Full COGID
123 124	80
125	81
126	82
33 33	83
125	81
125	81
125	81
123 124	80
125 125	84
125	81
125 125	84
125	81
125	81
125 26	85
125	81
125 127	86
125 124	87
128	88
128	88
128	88
128	88
128	88
128	88
128	88
128	88
128	88
128	88
128	88
128	88
128	88
128	88
128	88
128	88
128	88
129 130	89
129 130	89
131 130 	90
130	91
129 130	89
129 130	89
129 130	89
131 130	92
129 130	89
129 130	89
131 130	92
131 130	92
129 130	89
131 130	92
129 130	89
129 130	89
129 130	89
131 130	92
129 130	89
131 130	92
129 130	89
132	93
132	93
132	93
132	93
132	93
132	93
132	93
133	94
132	93
132	93
132	93
132	93
132	93
132	93
132	93
132	93
132	93
132	93
135	95
135	95
135	95
135	95
135	95
135	95
135	95
135 135	96
135	95
135	95
135	95
135	95
135	95
135	95
135	95
135	95
135	95
135	95
135	95
135	95
137	97
137	97
137	97
137	97
137	97
137	97
137	97
137	97
137	97
137	97
137	97
137	97
137	97
137	97
137	97
137	97
137	97
138	98
138	98
138	98
138	98
138	98
138	98
138	98
138	98
138	98
138	98
138	98
138	98
138	98
138	98
138	98
138	98
138	98
139	99
139	99
139	99
139	99
139	99
139	99
140	100
139	99
139	99
139	99
139	99
139	99
139	99
139	99
139	99
139	99
139	99
141	101
141	101
141	101
141	101
141	101
141	101
141	101
141	101
141	101
143 141	102
141	101
141	101
141	101
141	101
141	101
141	101
141	101
141	101
146	103
146	103
147 148	104
146	103
146	103
147 148	104
146	103
149	105
146	103
146	103
146	103
146	103
146	103
146	103
146	103
146	103
146	103
146	103
151	106
151	106
151	106
151	106
151	106
151	106
151	106
152 152	107
152	108
151	106
151	106
151	106
151	106
151	106
152	108
151	106
151	106
152	108
152	108
151	106
153	109
153	109
153	109
153	109
153	109
153	109
153	109
153	109
153	109
153	109
153	109
153	109
153	109
153	109
153	109
153	109
153	109
153	109
153	109
157	110
157	110
157	110
157	110
157	110
158	111
157	110
158	111
159 160	112
157	110
157	110
157	110
157	110
157	110
157	110
157	110
157	110
162 163	113
162 163	113
164	114
162 163	113
162 163	113
165 166	115
164	114
164	114
162 163	113
162 163	113
164	114
167 168	116
162 163	113
163	117
169	118
162 170	119
171	120
162 163	113
172	121
176	122
176	122
176	122
176	122
176	122
176	122
176	122
176	122
176	122
176	122
176	122
176	122
176	122
176	122
176	122
176	122
176	122
178	123
178	123
178	123
178	123
178	123
178	123
178	123
178	123
178	123
178	123
178	123
178	123
178	123
178	123
178	123
178	123
178	123
178	123
131	124
131	124
131	124
131	124
131	124
131	124
131	124
131	124
131	124
131	124
131	124
131	124
131	124
131	124
131	124
131	124
131 14	125
131 14	125
131 14	125
131 14	125
131 14	125
131 14	125
131 14	125
131 14	125
131 14	125
131 14	125
131 14	125
131 14	125
131 14	125
131 14	125
131 14	125
131 14	125
180	126
180	126
180	126
180	126
180	126
180	126
180	126
180	126
180	126
180	126
180	126
180	126
180	126
180	126
180	126
180	126
180	126
180	126
180	126
180	126
180	126
180	126
180	126
180	126
180	126
181	127
180	126
180	126
180	126
180	126
182	128
182	128
182	128
182	128
182	128
182	128
183 54	129
183 54	129
164 36	130
182	128
182	128
185 36	131
182	128
188	132
188	132
188	132
188	132
188	132
188	132
188	132
188	132
188	132
188	132
188	132
188	132
188	132
188	132
188	132
188	132
188	132
188 111	133
188 111	133
188 111	133
188 111	133
188 111	133
188 111	133
188 111	133
188 111	133
189	134
189	134
189	134
189	134
189	134
189	134
189	134
190	135
190	135
190	135
189	134
190	135
190	135
190	135
189	134
189	134
189	134
191	136
192	137
758	138
191	136
191	136
194	139
195	140
195	140
196	141
195	140
194	139
191	136
197	142
197	142
198	143
195	140
193	144
199	145
199	145
200	146
201	147
199	145
199	145
199	145
199	145
202	148
199	145
199	145
203	149
199	145
203	149
199	145
203	149
204	150
203	149
203	149
199	145
205	151
205	151
205	151
205	151
205	151
205	151
205	151
205	151
205	151
205	151
205	151
210	152
211	153
205	151
209	154
209	154
205	151
205	151
759	155
209	154
209	154
205	151
215	156
215	156
215	156
215	156
215	156
215	156
215	156
215	156
215	156
215	156
215	156
215	156
216	157
217 218 55	158
215	156
215	156
215	156
215	156
215	156
218	159
218	159
218	159
218	159
218	159
218	159
218	159
218	159
218	159
218	159
218	159
218	159
218	159
218	159
218	159
218	159
32	160
32	160
32	160
32	160
32	160
32	160
32	160
32	160
219	161
219	161
219	161
32	160
32	160
219	161
219	161
32	160
219	161
32 30	162
32 30	162
32 30	162
32 30	162
32 30	162
32 38	163
32 30	162
32 30	162
219 221	164
219 222	165
32 30	162
32 223	166
219 30	167
219 224 36	168
32 38 54	169
219 225	170
229 230	171
231	172
229 230	171
229 230	171
231	172
229 230	171
229 230	171
231	172
231	172
229 230	171
229 230	171
229 230	171
229 230	171
229 230	171
229 230	171
229 230	171
231	172
229 230	171
231	172
231	172
229 230	171
234	173
234	173
234	173
234	173
234	173
189	134
189	134
189	134
234	173
234	173
189	134
190	135
234	173
234	173
6	7
234	173
189	134
190	135
234	173
236	174
234	173
234	173
234	173
237	175
237	175
237	175
237	175
237	175
237	175
237	175
237	175
237	175
237	175
237	175
237	175
237	175
237	175
237	175
237	175
237 238	176
237	175
237	175
237	175
237 238	176
237	175
237 238	176
237 238	176
237	175
237	175
237	175
237 238	176
237	175
237 238	176
237	175
237 238	176
237 238	176
242 243	177
242 243	177
242 243	177
242 243	177
242 243	177
242 244	178
242 243	177
242 243	177
242 243	177
242 245	179
242 243	177
242 243	177
242	180
242 243	177
242 243	177
78	181
78	181
78	181
78	181
78	181
247	182
78	181
248	183
78	181
78	181
78	181
78	181
78	181
78	181
247 249	184
78	181
78	181
78	181
78	181
78	181
78 251	185
78 251	185
78 251	185
78 251	185
78 251	185
78 251	185
78 251	185
78 251	185
78 252	186
78 251	185
78 251	185
78 251	185
78 251	185
78 251	185
78 251	185
78 252	186
78 251	185
253 254	187
253 254	187
253 254	187
253 254	187
253 254	187
254	188
253 254	187
254	188
253 254	187
254	188
254	188
253 254	187
254	188
253 254	187
254 14	189
253 254	187
253 254	187
253 254	187
253 254	187
254	188
253 254	187
253 254	187
253 254	187
253 254	187
