Word with borrowing2	Full COGID
393	222
393	222
393	222
393	222
393	222
393	222
393	222
393	222
393	222
393	222
393	222
393	222
393	222
393	222
393	222
393	222
311	223
311	223
311	223
311	223
311	223
311	223
311	223
311	223
311	223
311	223
311	223
311	223
311	223
311	223
311	223
311	223
311	223
311	223
311	223
16	224
16	224
16	224
16	224
16	224
16	224
16	224
16	224
16	224
16	224
16	224
16	224
16	224
16	224
16	224
16	224
16	224
16	224
753	225
18 19	226
18 19	226
18 19	226
18 19	226
18	227
18	227
19	228
18	227
18 19	226
19	228
18	227
19	228
18 19	226
20	229
19	228
20	229
18 19	226
19	228
18	227
19	228
18 19	226
19	228
19	228
18 19	226
18	227
19	228
19	228
160	230
160	230
160	230
160	230
160	230
160	230
160	230
705	231
160	230
160	230
705	231
160	230
160	230
160	230
160	230
160	230
160	230
160	230
160	230
160	230
663	232
663	232
663	232
663	232
663	232
663	232
663	232
663	232
663	232
663	232
663	232
663	232
663	232
663	232
663	232
663	232
663	232
663	232
663	232
663	232
596	233
596	233
596	233
596	233
596	233
596	233
596	233
596	233
596	233
596	233
596	233
596	233
596	233
596	233
596	233
596	233
596	233
596	233
596	233
312	234
312	234
312	234
312	234
312	234
312	234
312	234
312	234
312	234
313 314	235
315	236
316	237
312	234
312	234
317 318	238
312	234
312	234
312	234
312	234
266	239
266	239
266	239
266	239
266	239
266	239
266	239
266	239
266	239
266	239
266	239
266	239
266	239
266	239
266	239
266	239
320	240
266	239
268	241
268	241
218	242
218	242
218	242
218	242
218	242
218	242
218	242
218	242
218	242
218	242
218	242
218	242
218	242
218	242
218	242
218	242
218	242
218	242
218	242
678 82	243
679 82	244
678 82	243
678 82	243
678 82	243
678 82	243
678 82	243
678 82	243
678 82	243
678 82	243
678 82	243
678 82	243
56 83	245
680 83	246
209 680	247
678 82	243
678 82	243
678 82	243
678 82	243
678 82	243
678 82	243
188 111	248
188 111	248
188 111	248
111	249
188 111	248
188 111	248
188 111	248
188 111	248
188 111	248
188 111	248
188 111	248
188 111	248
111	249
188 111	248
188 111	248
188 111	248
188 111	248
111	249
188 111	248
709	250
709	250
709	250
709	250
709	250
709	250
709	250
710	251
709	250
709	250
709	250
709	250
709	250
709	250
709	250
709	250
709	250
709	250
54 55	252
709	250
709	250
617	253
617	253
617	253
617	253
617	253
617	253
617	253
617	253
772	254
618	255
619	256
179	257
512 620	258
179	257
617	253
617	253
773	259
617	253
621	260
622	8
623	261
640	262
640	262
8 641	263
97 642	264
640	262
97 643	265
640	262
640	262
640	262
640	262
640	262
640	262
640	262
640	262
640	262
640	262
640	262
640	262
640	262
640	262
640	262
108	266
108	266
108	266
108	266
108	266
108	266
108	266
108	266
108	266
108	266
108	266
108	266
108	266
108	266
108	266
108	266
108	266
108	266
108	266
494 495	267
494 495	267
494 495	267
494 495	267
494 495	267
496	268
494 495	267
496	268
496	268
496	268
494 495	267
496	268
494 495	267
497 16	269
494 495	267
494 495	267
498 16 	270
494 495	267
496	268
496	268
499 496	271
500	272
496 494	273
708	274
708	274
708	274
708	274
708	274
708	274
708	274
708	274
708	274
708	274
708	274
708	274
708	274
708	274
708	274
708	274
708	274
708	274
708	274
529	275
529	275
